taxon_name,SB50,SB25,SB10,SB02
Acorus_calamus,0,0,0&1,0&1
Acorus_gramineus,0,0&1,0&1,0&1
Alisma_plantagoaquatica,0,0,0&2,0&1&2
Sagittaria_lichuanensis,?,?,?,?
Aponogeton_hexatepalus,?,?,?,?
Aponogeton_crispus,1,1,1,1
Anthurium_acaule,?,0&2,0&2,0&2
Arum_maculatum,0,0,0,0&2
Epipremnum_pinnatum,1,1,1,0&1
Gonatopus_angustus,1,1,0&1,0&1
Gymnostachys_anceps,0,0,0&1,0&1
Lasia_spinosa,1,1,1,1
Lemna_minor,0,0,0&2,0&1&2
Orontium_aquaticum,0,0,0,0
Pothoidium_lobbianum,1,1,1,1
Spathiphyllum_wallisii,1,1,1,0&1
Spirodela_polyrhiza,?,?,?,?
Stylochaeton_bogneri,1,1,1,1
Symplocarpus_foetidus,0,0,0,0
Urospatha_sagittifolia,1,1,1,1
Xanthosoma_sagittifolium,1,1,1,0&1
Butomus_umbellatus,0,0,0,0&2
Amphibolis_griffithii,2,2,2,2
Halodule_wrightii,1,1,1,0&1&2
Hydrocharis_dubia,0,0&1,0&1,0&1
Stratiotes_aloides,0,0,0,0
Tetroncium_magellanicum,0,0,0,0
Triglochin_maritima,0,0,0&2,0&2
Maundia_triglochinoides,0,0,0,0
Posidonia_australis,2,0&2,0&2,0&2
Posidonia_oceanica,2,2,2,2
Potamogeton_berchtoldii,0,0,0,0&2
Zannichellia_palustris,0,0&2,0&2,0&1&2
Ruppia_maritima,0,0,0&1&2,0&1&2
Ruppia_megacarpa,0,0&2,0&2,0&2
Scheuchzeria_palustris,0,0,0,0
Pleea_tenuifolia,0,0,0,0
Tofieldia_calyculata,0,0,0,0
Phyllospadix_iwatensis,0,0,0,0
Zostera_marina,0,0,0,0&2
Amborella_trichopoda,1,1,1,1
Actinotus_helianthi,0,0,0,0
Apium_graveolens,2,0&2,0&2,0&1&2
Arctopus_echinatus,2,2,0&2,0&2
Azorella_selago,0,0,0,0
Bowlesia_incana,2,2,2,0&1&2
Hermas_villosa,2,2,2,2
Heteromorpha_arborescens,0,0&1,0&1,0&1&2
Klotzschia_brasiliensis,1,1&2,1&2,1&2
Mackinlaya_confusa,1,1,1,1
Platysace_lanceolata,0,0,0,0
Sanicula_gregaria,?,?,?,?
Hydrocotyle_vulgaris,0,0,0,0&2
Panax_quinquefolius,0,0,0,0
Griselinia_lucida,0,0,0,0
Griselinia_racemosa,0,0,0,0
Delarbrea_michieana,1,1,1,1
Myodocarpus_fraxinifolius,1,1,1,1
Pennantia_corymbosa,0,0,0,0
Pennantia_cunninghamii,0,0,0&1,0&1
Pittosporum_tobira,0,0&1,0&1&2,0&1&2
Billardiera_heterophylla,2,2,0&2,0&2
Aralidium_pinnatifidum,1,1,1,1
Melanophylla_alnifolia,1,1,1,1
Ilex_cornuta,1,0&1,0&1,0&1
Ilex_opaca,0,0,0,0
Citronella_suaveolens,1,1,1,1
Gonocaryum_litorale,1,1,1,1
Helwingia_himalaica,1,0&1,0&1,0&1
Helwingia_japonica,0,0,0&1,0&1
Phyllonoma_laticuspis,1,0&1,0&1,0&1
Phyllonoma_ruscifolia,1,1,1,1
Irvingbaileya_australis,1,1,1,1
Lasianthera_africana,1,1,1,1
Calamus_aruensis,1,1,1,1
Caryota_mitis,1,1,1,1
Ceroxylon_quindiuense,1,1,0&1,0&1
Elaeis_guineensis,1,1,1,1
Eugeissona_tristis,1,1,1,1
Iriartea_deltoidea,1,1,1,1
Nypa_fruticans,1,1,1,1
Phoenix_dactylifera,2,2,0&2,0&1&2
Pseudophoenix_vinifera,1,1,1,1
Sabal_minor,0,0,0,0&1
Calectasia_intermedia,0,0&2,0&2,0&2
Dasypogon_bromeliifolius,2,2,2,2
Agapanthus_africanus,2,1&2,0&1&2,0&1&2
Allium_fistulosum,0,0,0&1,0&1
Crinum_asiaticum,2,0&1&2,0&1&2,0&1&2
Agave_ghiesbreghtii,1,1,0&1&2,0&1&2
Anemarrhena_asphodeloides,0,0,0,0
Aphyllanthes_monspeliensis,2,0&2,0&2,0&2
Asparagus_officinalis,0,0,0&2,0&2
Beaucarnea_recurvata,1,1,1,0&1
Brodiaea_californica,0,0&2,0&2,0&2
Cordyline_australis,0,0,0,0&2
Eriospermum_cervicorne,2,2,2,2
Hemiphylacus_alatostylus,2,0&2,0&2,0&2
Lomandra_longifolia,0,0,0,0&1&2
Milla_biflora,0,0&2,0&1&2,0&1&2
Albuca_bracteata,0,0&1,0&1&2,0&1&2
Oziroe_biflora,2,2,1&2,1&2
Bulbine_succulenta,2,2,2,2
Dianella_ensifolia,1,1,1,1
Xanthorrhoea_resinosa,0,0,0,0
Astelia_alpina,0,0,0,0&1
Milligania_stylosa,0,0,0,0
Blandfordia_cunninghamii,0,0,0,0
Blandfordia_punicea,0,0,0,0
Alania_cunninghamii,0,0,0,0
Borya_septentrionalis,1,1,1,1
Doryanthes_excelsa,0,0,0,0
Doryanthes_palmeri,0,0,0&1,0&1
Molineria_capitulata,1,1,1,0&1
Rhodohypoxis_milloides,0,0,0,0
Aristea_capitata,2,2,2,2
Aristea_glauca,2,2,2,2
Crocus_banaticus,0,0,0,0
Diplarrena_latifolia,0,0,0,0
Geosiris_aphylla,1,1,1,1
Gladiolus_buckerveldii,2,2,2,2
Iris_missouriensis,0,0&2,0&2,0&2
Isophysis_tasmanica,0,0,0,0
Nivenia_stokoei,2,2,2,2
Patersonia_glabrata,0,0,0,0
Witsenia_maura,2,2,2,2
Ixiolirion_songaricum,?,?,?,?
Ixiolirion_tataricum,2,0&2,0&2,0&2
Lanaria_lanata,2,2,2,2
Apostasia_wallichii,1,1,1,1
Cypripedium_calceolus,0,0,0,0
