taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_data_source,syndrome_or_system,pollination_reward,nectar,scent,rank_scored_at,position,conf_score,abiotic_animal,abiotic_animal_nopoly,wind_water_vert_insect,wind_water_animal,wind_water_animal_nopoly,abiotic_vert_insect,abiotic_vert_insect_nopoly,wind_animal,vert_insect,wind_water_vert_insect_nopoly,SB50,no_records,abs_meanlat,meanLAI
Amborella_trichopoda,Amborella,NA,NA,Amborellaceae,Amborellales,Angiospermae,wind and insect,wind&animal,yes,explicit from the text (described as such),system,pollen,no,no,species,1,6,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,1,76,21.390686710526317,56.03828022354528
Austrobaileya_scandens,Austrobaileya,NA,NA,Austrobaileyaceae,Austrobaileyales,Angiospermae,fly,animal,no,explicit from the text (described as such),system,reproduction,no,yes,species,9,5,4,4,5,4,4,5,5,4,5,5,1,76,17.255199894736844,61.655267539777256
Illicium_floridanum,Illicium,NA,NA,Schisandraceae,Austrobaileyales,Angiospermae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,11,5,4,4,5,4,4,5,5,4,5,5,0,160,31.4065813375,31.096449595689773
Schisandra_chinensis,Schisandra,NA,NA,Schisandraceae,Austrobaileyales,Angiospermae,wind and insect,wind&animal,no,interpreted from the text,system,NA,no,NA,species,12,5,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,0,159,38.50848573213259,27.8559338086806
Trimenia_moorei,Trimenia,NA,NA,Trimeniaceae,Austrobaileyales,Angiospermae,wind and insect,wind&animal,yes,explicit from the text (described as such),system,pollen,no,yes,species,10,6,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,0,106,30.762622896226414,68.13228691748853
Brasenia_schreberi,Brasenia,NA,NA,Cabombaceae,Nymphaeales,Angiospermae,wind and insect,wind&animal,yes,interpreted from the text,system,pollen,no,NA,species,7,6,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,0,585,38.357766530486245,23.259694031364898
Cabomba_caroliniana,Cabomba,NA,NA,Cabombaceae,Nymphaeales,Angiospermae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,8,5,4,4,5,4,4,5,5,4,5,5,0,553,34.94720761437452,18.24486208651855
Trithuria_cowieana,Trithuria,NA,NA,Hydatellaceae,Nymphaeales,Angiospermae,abiotic,wind&water,no,explicit from the text (described as such),syndrome,NA,NA,NA,family,2,3,1,1,2&3,2&3,1,1,1,?,?,1,1,5,13.3639568,5.094772982597351
Trithuria_submersa,Trithuria,NA,NA,Hydatellaceae,Nymphaeales,Angiospermae,wind,wind,yes,explicit from the text (described as such),system,NA,NA,NA,species,3,6,1,1,2,2,2,1,1,2,?,2,2,108,35.42917273148148,8.467986080381605
Nuphar_advena,Nuphar,NA,Nupharoideae,Nymphaeaceae,Nymphaeales,Angiospermae,insect,animal,yes,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,6,6,4,4,5,4,4,5,5,4,5,5,0,240,33.97220493748838,20.432325875759126
Barclaya_longifolia,Barclaya,NA,Nymphaeoideae,Nymphaeaceae,Nymphaeales,Angiospermae,water and insect,water&animal,no,interpreted from the text,syndrome,NA,NA,NA,species,4,2,1&4,7,3&5,3&4,9,1&5,10,?,?,14,1,3,16.009352,18.133638381958008
Nymphaea_odorata,Nymphaea,NA,Nymphaeoideae,Nymphaeaceae,Nymphaeales,Angiospermae,bee,animal,no,explicit from the text (described as such),system,pollen,no,yes,species,5,5,4,4,5,4,4,5,5,4,5,5,0,607,39.20906864269487,21.10327364742461
Alangium_chinense,Alangium,NA,Cornoideae,Cornaceae,Cornales,Asteridae,animal,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,845,2,4,4,6&5,4,4,6&5,4,4,6&5,4,0,266,27.38053595112782,28.904482874655187
Cornus_mas,Cornus,NA,Cornoideae,Cornaceae,Cornales,Asteridae,insect,animal,no,explicit from the text (described as such),syndrome,NA,NA,NA,species,846,2,4,4,5,4,4,5,5,4,5,5,0,129,45.2574073255814,16.582873070886894
Curtisia_dentata,Curtisia,NA,NA,Curtisiaceae,Cornales,Asteridae,wind,wind,no,explicit from the text (described as such),system,NA,NA,NA,species,847,4,1,1,2,2,2,1,1,2,?,2,0,4,29.25072275,27.801684379577637
Grubbia_rosmarinifolia,Grubbia,NA,NA,Grubbiaceae,Cornales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,848,2,4,4,5,4,4,5,5,4,5,5,2,2,34.30875,8.240104675292969
Grubbia_tomentosa,Grubbia,NA,NA,Grubbiaceae,Cornales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,849,2,4,4,5,4,4,5,5,4,5,5,2,1,34.281944,4.4212799072265625
Hydrangea_macrophylla,Hydrangea,NA,Hydrangeoideae,Hydrangeaceae,Cornales,Asteridae,insect,animal,no,interpreted from the text,system,pollen,no,no,species,855,5,4,4,5,4,4,5,5,4,5,5,0,150,27.67276322,26.88440229256948
Fendlera_rupicola,Fendlera,NA,Jamesioideae,Hydrangeaceae,Cornales,Asteridae,insect,animal,no,seen explicitly on the illustration,system,NA,NA,NA,species,854,4,4,4,5,4,4,5,5,4,5,5,2,249,34.640487641049134,3.701149657308816
Hydrostachys_angustisecta,Hydrostachys,NA,NA,Hydrostachyaceae,Cornales,Asteridae,wind,wind,no,explicit from the text (described as such),syndrome,NA,NA,NA,genus,852,3,1,1,2,2,2,1,1,2,?,2,1,3,8.13046,51.20963668823242
Hydrostachys_multifida,Hydrostachys,NA,NA,Hydrostachyaceae,Cornales,Asteridae,wind,wind,no,guessed from the illustration,syndrome,NA,NA,NA,species,853,3,1,1,2,2,2,1,1,2,?,2,1,18,18.688549666666667,33.505806075202095
Eucnide_bartonioides,Eucnide,NA,NA,Loasaceae,Cornales,Asteridae,moth,animal,no,explicit from the text (described as such),syndrome,NA,NA,NA,species,856,3,4,4,5,4,4,5,5,4,5,5,0,78,26.034033039505065,8.773117188459787
Mentzelia_lindleyi,Mentzelia,NA,NA,Loasaceae,Cornales,Asteridae,bee,animal,no,seen explicitly on the illustration,system,NA,NA,NA,species,857,4,4,4,5,4,4,5,5,4,5,5,2,21,36.644746952208145,10.406060417493185
Diplopanax_stachyanthus,Diplopanax,NA,NA,Nyssaceae,Cornales,Asteridae,insect,animal,no,interpreted from the text,syndrome,NA,NA,NA,species,850,2,4,4,5,4,4,5,5,4,5,5,1,10,21.5440499,46.95614585876465
Nyssa_ogeche,Nyssa,NA,Nyssoideae,Nyssaceae,Cornales,Asteridae,bee,animal,no,interpreted from the text,syndrome,nectar,yes,NA,species,851,2,4,4,5,4,4,5,5,4,5,5,0,75,30.721954213333333,28.95895242055257
Actinidia_chinensis,Actinidia,NA,NA,Actinidiaceae,Ericales,Asteridae,wind and insect,wind&animal,yes,explicit from the text (described as such),system,pollen,no,NA,species,897,6,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,0,222,29.7466680990991,34.462923910166765
Saurauia_kegeliana,Saurauia,NA,NA,Actinidiaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,pollen,no,NA,genus,898,5,4,4,5,4,4,5,5,4,5,5,1,202,14.912369738398779,51.13326912115116
Impatiens_repens,Impatiens,NA,NA,Balsaminaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,nectar,yes,NA,species,860,3,4,4,5,4,4,5,5,4,5,5,0,NA,NA,NA
Clethra_alnifolia,Clethra,NA,NA,Clethraceae,Ericales,Asteridae,wind and insect,wind&animal,yes,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,901,6,1&4,7,2&5,2&4,8,1&5,10,2&4,?,12,0,349,36.22230502864575,25.17411555533423
Purdiaea_nutans,Purdiaea,NA,NA,Clethraceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,902,2,4,4,5,4,4,5,5,4,5,5,1,78,4.278794371794872,49.55713807619535
Cliftonia_monophylla,Cliftonia,NA,NA,Cyrillaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar,yes,yes,species,903,4,4,4,5,4,4,5,5,4,5,5,0,118,30.566844542365914,29.73193202382427
Cyrilla_racemiflora,Cyrilla,NA,NA,Cyrillaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar,yes,NA,species,904,4,4,4,5,4,4,5,5,4,5,5,1,662,16.72792174526918,43.881289716933786
Diapensia_lapponica,Diapensia,NA,NA,Diapensiaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,893,4,4,4,5,4,4,5,5,4,5,5,0,532,61.66468069891996,10.17049412866284
Galax_urceolata,Galax,NA,NA,Diapensiaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,894,5,4,4,5,4,4,5,5,4,5,5,0,23,35.501408391304345,31.828395345936652
Diospyros_lotus,Diospyros,NA,Ebenoideae,Ebenaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,878,2,4,4,5,4,4,5,5,4,5,5,0,305,34.656560885616635,30.733410571833126
Euclea_crispa,Euclea,NA,Ebenoideae,Ebenaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,879,2,4,4,5,4,4,5,5,4,5,5,0,48,28.9454694375,8.776414776841799
Lissocarpa_benthamii,Lissocarpa,NA,Lissocarpoideae,Ebenaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,877,2,4,4,5,4,4,5,5,4,5,5,1,31,2.505702806451613,60.11149301836568
Arbutus_unedo,Arbutus,NA,Arbutoideae,Ericaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,syndrome,nectar,yes,NA,species,909,3,4,4,5,4,4,5,5,4,5,5,2,114,38.82560178947369,9.171510644126357
Enkianthus_campanulatus,Enkianthus,NA,Enkianthoideae,Ericaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,nectar,yes,NA,species,905,4,4,4,5,4,4,5,5,4,5,5,0,355,35.907352205633806,39.77171521253989
Enkianthus_perulatus,Enkianthus,NA,Enkianthoideae,Ericaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,906,2,4,4,5,4,4,5,5,4,5,5,0,37,33.26056359459459,45.235958047815274
Rhododendron_hippophaeoides,Rhododendron,NA,Ericoideae,Ericaceae,Ericales,Asteridae,animal,animal,no,interpreted from the text,syndrome,NA,NA,NA,species,916,2,4,4,6&5,4,4,6&5,4,4,6&5,4,0,31,27.75235835483871,16.840999972435736
Monotropa_hypopitys,Monotropa,NA,Monotropoideae,Ericaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),syndrome,NA,NA,NA,species,911,2,4,4,5,4,4,5,5,4,5,5,0,327,42.08149912918568,21.42588140111451
Pyrola_rotundifolia,Pyrola,NA,Monotropoideae,Ericaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,pollen,no,yes,species,908,5,4,4,5,4,4,5,5,4,5,5,0,704,57.977475286482864,13.471299020002004
Agarista_populifolia,Agarista,NA,NA,Ericaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,NA,NA,yes,species,918,4,4,4,5,4,4,5,5,4,5,5,0,32,27.50926065625,27.65409043431282
Arctostaphylos_uvaursi,Arctostaphylos,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,910,5,4,4,5,4,4,5,5,4,5,5,0,933,50.26333975221652,14.523999890777715
Cassiope_fastigiata,Cassiope,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,913,2,4,4,5,4,4,5,5,4,5,5,0,48,28.888752666666665,8.346724373598894
Cassiope_mertensiana,Cassiope,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,914,2,4,4,5,4,4,5,5,4,5,5,0,268,50.725626294759195,24.721790992501955
Chimaphila_umbellata,Chimaphila,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,907,5,4,4,5,4,4,5,5,4,5,5,0,689,43.70743947999558,21.039850075808943
Epacris_lanuginosa,Epacris,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,system,NA,NA,NA,species,920,4,4,4,5,4,4,5,5,4,5,5,0,232,41.42639630603448,35.84027702232887
Harrimanella_hypnoides,Harrimanella,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,917,2,4,4,5,4,4,5,5,4,5,5,0,252,63.84796462501329,7.604405457065219
Kalmia_latifolia,Kalmia,NA,NA,Ericaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,915,5,4,4,5,4,4,5,5,4,5,5,0,107,35.10265525233645,27.415480105676384
Prionotes_cerinthoides,Prionotes,NA,NA,Ericaceae,Ericales,Asteridae,bird and bee,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,921,5,4,4,6&5,4,4,6&5,4,4,6&5,4,0,77,42.78545894805195,53.816686704561306
Pterospora_andromedea,Pterospora,NA,NA,Ericaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,system,NA,NA,NA,species,912,4,4,4,5,4,4,5,5,4,5,5,0,308,38.94317682049764,15.036424408485363
Vaccinium_uliginosum,Vaccinium,NA,Vaccinioideae,Ericaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,919,5,4,4,5,4,4,5,5,4,5,5,0,1052,56.0893507161992,15.090026134745477
Fouquieria_columnaris,Fouquieria,NA,NA,Fouquieriaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,871,2,4,4,5,4,4,5,5,4,5,5,2,44,29.303121608376188,0.7976072457703677
Fouquieria_splendens,Fouquieria,NA,NA,Fouquieriaceae,Ericales,Asteridae,bird and bee,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,872,5,4,4,6&5,4,4,6&5,4,4,6&5,4,2,166,28.285633163920643,2.9843721934482006
Barringtonia_asiatica,Barringtonia,NA,Barringtonioideae,Lecythidaceae,Ericales,Asteridae,bat,animal,no,explicit from the text (described as such),syndrome,NA,NA,yes,species,875,3,4,4,6,4,4,6,6,4,6,6,1,54,13.147191777777778,47.88277912581408
Napoleonaea_vogelii,Napoleonaea,NA,Napoleonaeoideae,Lecythidaceae,Ericales,Asteridae,thrip,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,876,5,4,4,5,4,4,5,5,4,5,5,1,105,5.763598847619048,29.77515920003255
Marcgravia_rectiflora,Marcgravia,NA,NA,Marcgraviaceae,Ericales,Asteridae,bird,animal,no,interpreted from the text,system,nectar,yes,NA,species,858,5,4,4,6,4,4,6,6,4,6,6,1,52,18.493278423076923,42.06165889593271
Norantea_guianensis,Norantea,NA,NA,Marcgraviaceae,Ericales,Asteridae,bird,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,859,3,4,4,6,4,4,6,6,4,6,6,1,543,7.205263794223404,41.780253628121336
Mitrastemon_yamamotoi,Mitrastemon,NA,NA,Mitrastemonaceae,Ericales,Asteridae,wasp and cricket and cockroach,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,yes,species,892,5,4,4,5,4,4,5,5,4,5,5,1,27,24.647851333333335,42.592922846476235
Eurya_japonica,Eurya,NA,NA,Pentaphylacaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,880,5,4,4,5,4,4,5,5,4,5,5,0,694,35.02810486599424,29.814706830195117
Pentaphylax_euryoides,Pentaphylax,NA,NA,Pentaphylacaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,881,4,4,4,5,4,4,5,5,4,5,5,1,29,15.059361448275862,55.827162512417495
Acanthogilia_gloriosa,Acanthogilia,NA,Acanthogilioideae,Polemoniaceae,Ericales,Asteridae,bird,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,873,4,4,4,6,4,4,6,6,4,6,6,2,50,29.30698242,0.6890059244632721
Cobaea_scandens,Cobaea,NA,Cobaeoideae,Polemoniaceae,Ericales,Asteridae,bat,animal,no,explicit from the text (described as such),system,nectar,yes,yes,species,874,5,4,4,6,4,4,6,6,4,6,6,1,182,15.967864870399328,37.75488804460882
Maesa_lanceolata,Maesa,NA,Maesoideae,Primulaceae,Ericales,Asteridae,moth,animal,no,explicit from the text (described as such),syndrome,NA,NA,yes,species,863,3,4,4,5,4,4,5,5,4,5,5,1,495,11.459586058585858,29.974061874909836
Maesa_myrsinoides,Maesa,NA,Maesoideae,Primulaceae,Ericales,Asteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,NA,?,?,?,?,?,?,?,?,?,?,?,NA,NA,NA
Lysimachia_tenella,Lysimachia,NA,Myrsinoideae,Primulaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,867,2,4,4,5,4,4,5,5,4,5,5,0,162,40.63070411728395,11.991035233309239
Stimpsonia_chamaedryoides,Stimpsonia,NA,Myrsinoideae,Primulaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,868,2,4,4,5,4,4,5,5,4,5,5,0,20,27.99476335,21.03289623260498
Androsace_spinulifera,Androsace,NA,Primuloideae,Primulaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,869,2,4,4,5,4,4,5,5,4,5,5,0,41,28.46670443902439,16.665579842358103
Primula_sieboldii,Primula,NA,Primuloideae,Primulaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,870,5,4,4,5,4,4,5,5,4,5,5,0,33,40.53291590909091,21.89863040230491
Clavija_eggersiana,Clavija,NA,Theophrastoideae,Primulaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,syndrome,NA,NA,NA,genus,865,2,4,4,5,4,4,5,5,4,5,5,1,40,1.10054705,33.02170159816742
Samolus_repens,Samolus,NA,Theophrastoideae,Primulaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),syndrome,NA,NA,NA,species,866,2,4,4,5,4,4,5,5,4,5,5,2,399,34.90671580952381,11.840303369333272
Roridula_dentata,Roridula,NA,NA,Roridulaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,pollen,no,NA,species,899,5,4,4,5,4,4,5,5,4,5,5,2,NA,NA,NA
Roridula_gorgonias,Roridula,NA,NA,Roridulaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,pollen,no,NA,species,900,5,4,4,5,4,4,5,5,4,5,5,2,1,34.281944,4.4212799072265625
Manilkara_zapota,Manilkara,NA,Sapotoideae,Sapotaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,884,4,4,4,5,4,4,5,5,4,5,5,1,1120,18.26552592691,34.84461949542165
Sarcosperma_laurinum,Sarcosperma,NA,Sarcospermatoideae,Sapotaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,syndrome,NA,NA,yes,species,885,2,4,4,5,4,4,5,5,4,5,5,1,1,23.159583,49.152740478515625
Darlingtonia_californica,Darlingtonia,NA,NA,Sarraceniaceae,Ericales,Asteridae,bee,animal,no,explicit from the text (described as such),system,pollen,no,NA,species,895,5,4,4,5,4,4,5,5,4,5,5,0,162,41.705877236822765,38.79226565655367
Sarracenia_purpurea,Sarracenia,NA,NA,Sarraceniaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,nectar and pollen,yes,NA,species,896,5,4,4,5,4,4,5,5,4,5,5,0,358,45.15063356573477,20.57839975676723
Ficalhoa_laurifolia,Ficalhoa,NA,NA,Sladeniaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,syndrome,NA,NA,NA,species,882,2,4,4,5,4,4,5,5,4,5,5,1,52,6.271531019230769,25.937849425352535
Sladenia_celastrifolia,Sladenia,NA,NA,Sladeniaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,883,2,4,4,5,4,4,5,5,4,5,5,1,17,21.57828505882353,35.681291580200195
Halesia_carolina,Halesia,NA,NA,Styracaceae,Ericales,Asteridae,bee,animal,no,interpreted from the text,syndrome,nectar and pollen,yes,yes,species,890,3,4,4,5,4,4,5,5,4,5,5,0,102,33.60333909801286,29.488908720951454
Styrax_officinalis,Styrax,NA,NA,Styracaceae,Ericales,Asteridae,insect,animal,no,interpreted from the text,syndrome,nectar and pollen,yes,yes,species,891,3,4,4,5,4,4,5,5,4,5,5,2,27,36.24973259259259,6.170497982590287
Cordyloblaste_pendula,Cordyloblaste,NA,NA,Symplocaceae,Ericales,Asteridae,insect,animal,no,guessed from the illustration,syndrome,NA,NA,NA,species,888,2,4,4,5,4,4,5,5,4,5,5,1,6,7.5291429999999995,55.46582158406576
Symplocos_zizyphoides,Symplocos,NA,NA,Symplocaceae,Ericales,Asteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,889,NA,?,?,?,?,?,?,?,?,?,?,1,4,6.060894,51.5511589050293
Pelliciera_rhizophorae,Pelliciera,NA,NA,Tetrameristaceae,Ericales,Asteridae,bird,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,861,4,4,4,6,4,4,6,6,4,6,6,1,101,9.596661702970296,28.871359985653715
Tetramerista_crassifolia,Tetramerista,NA,NA,Tetrameristaceae,Ericales,Asteridae,animal,animal,no,guessed from the illustration,syndrome,NA,NA,NA,genus,862,2,4,4,6&5,4,4,6&5,4,4,6&5,4,?,NA,NA,NA
Camellia_sinensis,Camellia,NA,NA,Theaceae,Ericales,Asteridae,insect,animal,no,explicit from the text (described as such),system,NA,NA,NA,species,886,5,4,4,5,4,4,5,5,4,5,5,1,553,30.693853918625678,33.340111637632845
