"","(1,R1)","(2,R1)","(3,R1)"
"1",0.00356200418926931,0.00034467125819955,0.996093324552531
"2",0.000959667307003312,1.51432957871536e-05,0.99902518939721
"3",0.00407881214972473,0.000164591589952666,0.995756596260323
"4",0.97539896047672,0.0137748434122427,0.0108261961110376
"5",4.97539683554248e-05,4.7923799746846e-06,0.99994545365167
"6",1.82610329368719e-05,0.000427736908839224,0.999554002058224
"7",2.13640353426795e-05,3.2881252789855e-06,0.999975347839378
"8",0.000378738182263359,1.39350679382282e-05,0.999607326749798
"9",1.49835069493403e-05,4.77165019339332e-07,0.999984539328031
"10",3.05163572060228e-05,4.73909538800389e-06,0.999964744547406
"11",0.000260679776318835,1.1527256043232e-05,0.999727792967638
"12",0.000537701759178716,1.60194380671402e-05,0.999446278802754
"13",4.05025957497228e-08,9.85714844929851e-08,0.99999986092592
"14",8.35162343988072e-09,6.24867339641565e-09,0.999999985399703
"15",9.76839878389239e-09,9.74824110615505e-09,0.99999998048336
"16",8.53663527935921e-08,7.88669303395464e-08,0.999999835766717
"17",5.49911681185872e-06,5.49809577954497e-06,0.999989002787409
"18",6.8075356222046e-06,6.80752796501133e-06,0.999986384936413
"19",3.87732549217233e-06,3.87732222108382e-06,0.999992245352287
"20",3.40269511412795e-06,2.99625168092925e-07,0.999996297679718
"21",3.44199701650264e-05,1.94295949519265e-06,0.99996363707034
"22",0.00104801360308153,3.77748279393785e-05,0.998914211568979
"23",0.000111886679220433,1.05511665674319e-05,0.999877562154212
"24",0.000376877921404034,2.5333657791547e-06,0.999620588712817
"25",0.000478037252857215,9.80848588037357e-06,0.999512154261262
"26",0.00874909564214083,3.11522513689576e-06,0.991247789132722
"27",0.0122912496349335,2.78824615995373e-06,0.987705962118907
"28",0.0213239119579412,0.000194656982067655,0.978481431059991
"29",0.0207405066466676,4.29090362795035e-06,0.979255202449704
"30",6.85439021121964e-08,6.85353629394623e-08,0.999999862920735
"31",7.23471698957935e-07,7.23471510662065e-07,0.99999855305679
"32",2.90558301864509e-06,2.90558301821897e-06,0.999994188833963
"33",9.97043534438907e-08,9.97043520907976e-08,0.999999800591294
"34",8.72438657027337e-06,8.72438657016629e-06,0.99998255122686
"35",1.03440072189302e-07,1.03440072189289e-07,0.999999793119856
"36",2.62077361437239e-07,2.62077361374229e-07,0.999999475845277
"37",5.65583717082787e-06,5.65583717082717e-06,0.999988688325658
"38",1.0015495472968e-06,1.00154954729424e-06,0.999997996900905
"39",1.76215943508546e-06,1.76215943508546e-06,0.99999647568113
"40",9.52808652747666e-07,9.5280865274763e-07,0.999998094382694
"41",6.81575091318184e-08,6.81575091318183e-08,0.999999863684982
"42",1.00806073758608e-06,1.00806073758608e-06,0.999997983878525
"43",4.69142866257154e-08,4.69142866257154e-08,0.999999906171427
"44",1.00065622455388e-06,1.00065622455388e-06,0.999997998687551
"45",9.43964700936106e-07,9.43964700936105e-07,0.999998112070598
"46",1.96266331258771e-07,1.92887863896285e-07,0.999999610845805
"47",1.64261693223704e-06,1.64253127681934e-06,0.999996714851791
"48",5.02361583014817e-06,5.02360032806719e-06,0.999989952783842
"49",4.29327513892158e-07,6.82192508700078e-08,0.999999502453235
"50",8.37164733011388e-07,8.30805133627321e-07,0.999998332030133
"51",3.97881791791212e-06,3.9787447673584e-06,0.999992042437315
"52",2.34342210843284e-06,2.34307015889537e-06,0.999995313507733
"53",2.38300657741755e-06,2.3830021643376e-06,0.999995233991258
"54",2.42897203612651e-05,1.97702088898792e-07,0.99997551257755
"55",0.00310891321107116,6.1433393579076e-06,0.996884943449571
"56",0.0150983281128743,0.000273995417851432,0.984627676469274
"57",0.0112788576161948,0.000221157276112482,0.988499985107693
"58",7.74494607928845e-07,6.58459691405931e-07,0.999998567045701
"59",4.99394922676832e-07,4.99270807575182e-07,0.99999900133427
"60",6.71349384008259e-08,6.6132602667263e-08,0.999999866732459
"61",8.80567153373265e-07,8.80531274631084e-07,0.999998238901572
"62",7.76956889419674e-07,7.76956596712159e-07,0.999998446086514
"63",1.52072380081407e-07,1.52065068324132e-07,0.999999695862552
"64",9.32220736741867e-07,9.32220402081319e-07,0.999998135558861
"65",1.98573095491795e-07,1.98573068288996e-07,0.999999602853836
"66",1.13911853794862e-07,1.13911853241388e-07,0.999999772176293
"67",8.9972314267859e-08,8.9972314265979e-08,0.999999820055371
"68",1.86102521535364e-06,1.10589454937336e-07,0.99999802838533
"69",0.00739872128058085,0.000332758958011632,0.992268519761408
"70",9.7304820153338e-08,3.20405821439993e-08,0.999999870654598
"71",2.96632210005929e-06,2.96622319808907e-06,0.999994067454702
"72",1.35639286682778e-09,1.21898715007415e-09,0.99999999742462
"73",3.2509508889075e-08,2.34041793036364e-08,0.999999944086312
"74",1.48950116012536e-05,1.48947934503524e-05,0.999970210194948
"75",1.92836959105204e-07,6.96814824806966e-09,0.999999800194893
"76",3.02362422273915e-08,2.87699010179153e-08,0.999999940993857
"77",4.04036464949218e-06,4.04002436088113e-06,0.99999191961099
"78",7.71568054987305e-06,7.71567664171012e-06,0.999984568642808
"79",2.07442131910589e-06,2.07400268079829e-06,0.999995851576
"80",0.0269927584996902,0.0269927581149501,0.94601448338536
"81",6.47812477563512e-08,6.47718605568308e-08,0.999999870446892
"82",3.47648200678766e-07,3.47646340990951e-07,0.999999304705458
"83",1.10374866664005e-05,1.10374865576861e-05,0.999977925026776
"84",9.73033629660909e-06,9.7303362532503e-06,0.99998053932745
"85",1.6496580393539e-06,1.6496579616836e-06,0.999996700683999
"86",1.54038936881788e-06,1.54038936854097e-06,0.999996919221263
"87",3.06676958429689e-07,3.06676957740199e-07,0.999999386646084
"88",1.79831455637603e-06,1.79831455636385e-06,0.999996403370887
"89",1.66984391482582e-06,1.66984391477852e-06,0.99999666031217
"90",0.000531957229065269,3.18385758876826e-06,0.999464858913346
"91",0.000286731645192122,3.16037663898941e-06,0.999710107978169
"92",0.0176511552894901,0.000683474647669221,0.981665370062841
"93",1.59976805757136e-05,1.85418723158625e-06,0.999982148132193
"94",5.74303330935968e-06,4.87287039742878e-06,0.999989384096293
"95",0.0341922660632946,0.000244628399191337,0.965563105537514
"96",9.25713822231799e-05,6.20405380720373e-06,0.99990122456397
"97",0.930194472444962,0.00427691843342199,0.0655286091216161
"98",0.981153520209692,0.0103721618757148,0.0084743179145928
"99",0.998136745265391,0.00102356818133254,0.000839686553276721
"100",0.936424922260714,0.0602287928463109,0.00334628489297517
"101",0.0141251965231737,0.985796228713457,7.85747633698105e-05
"102",0.000560682822841646,0.999434920605016,4.39657214188482e-06
"103",0.000403066656926662,0.999593794196152,3.13914692119637e-06
"104",9.84112711096079e-06,0.999988309936455,1.84893643383842e-06
"105",0.00015778192268627,0.99984029406429,1.92401302341814e-06
"106",1.68296213128759e-06,0.999997231292244,1.08574562466626e-06
"107",4.50887314629924e-06,0.999995133483741,3.5764311289626e-07
"108",1.55842151362274e-06,0.999997078920828,1.36265765807457e-06
"109",3.98270702393465e-07,0.999999209398186,3.92331111314618e-07
"110",2.09601605487276e-08,2.09577002795704e-08,0.999999958082139
"111",1.49124317283193e-05,1.49124316721014e-05,0.9999701751366
"112",1.15583061192124e-09,1.15582587144046e-09,0.999999997688344
"113",5.52709322462238e-08,5.52707606965979e-08,0.999999889458307
"114",5.69625497139948e-07,5.69483131424619e-07,0.999998860891371
