"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"1",7.83814100641069e-06,0.00577789971462111,1.2075972870787e-08,0.95339776969286,0.0408148573279637,1.62304757600438e-06
"2",1.65982407991422e-06,0.00151779489971972,2.61207578122582e-10,0.965103580131197,0.0333766438514798,3.21032315945649e-07
"3",3.04144860759815e-05,0.00539202445569232,1.63329500898747e-06,0.889453499488947,0.104947928632035,0.000174499642240663
"4",0.237267166836012,0.677601022670517,0.00661825913499582,0.00136321927115397,0.0468413683792176,0.0303089637081038
"5",6.59147494533593e-07,0.00032273845364048,1.84127189783431e-09,0.953245451391126,0.0464295493288309,1.59983763635846e-06
"6",2.85865475333759e-08,4.33653008948321e-05,8.92200093860748e-11,0.992480683698979,0.00710859941200866,0.000367322912349589
"7",4.56290339046388e-07,0.000292112009937738,1.13222441032374e-09,0.955427617010523,0.0442764162256335,3.39733134206831e-06
"8",8.31698814364782e-07,0.00098370520861142,7.42893166345753e-09,0.868546994706475,0.130455366318179,1.30946389885476e-05
"9",3.26886314731853e-08,8.42494843043253e-05,6.62388222381694e-13,0.986717174714481,0.013198515248887,2.78630341918661e-08
"10",4.31619029439182e-07,0.000368342937624765,1.16308487400337e-08,0.961854415529256,0.0377647448582072,1.20534250333135e-05
"11",1.43493840616343e-06,0.00141997811623511,9.87673405435225e-08,0.919729955522038,0.0787479290549932,0.000100603600986793
"12",1.63459850014566e-06,0.00165150098307122,9.73239840521591e-09,0.841504854741661,0.156829165431112,1.28345132572979e-05
"13",1.06457268578142e-12,1.05209427611455e-07,5.02145120967597e-17,0.99954479964119,0.000455095055709727,9.26075770366442e-11
"14",8.83590290778449e-15,4.48529821046474e-09,6.54449338156283e-18,0.99982114506348,0.000178850409162633,4.20500478862942e-11
"15",3.62462128888153e-14,1.30845979302393e-08,5.87696075110243e-17,0.999395377751285,0.000604608935417647,2.28662708207908e-10
"16",2.29669053124937e-11,8.50703175687537e-07,5.25401316952455e-13,0.992699299132775,0.00729974574694205,1.04393614957174e-07
"17",9.32665745060341e-09,2.16587032494532e-05,4.99496860334503e-10,0.993512478016272,0.00646466662902983,1.18682529455946e-06
"18",9.93190704189002e-09,1.65353646090095e-05,4.55020343714052e-11,0.995900781555727,0.00408254951869576,1.23583559067665e-07
"19",2.8241004326818e-09,7.4945798941197e-06,5.8394681941714e-12,0.997384831720268,0.00260763760503468,3.3264863457734e-08
"20",8.98192463711168e-09,6.2038764185773e-05,1.18916853127671e-10,0.888041658384571,0.111892275164289,4.01858611278877e-06
"21",7.65745199473418e-08,0.000327053012988261,6.32131951858972e-10,0.891785164417496,0.107882554898308,5.15046455580658e-06
