"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",7.15882092493677e-06,8.82241236805486e-05,0.0750463106913287,0.924858306364066
"2",3.30793548290329e-06,4.00595570663278e-05,0.0762735365038883,0.923683096003562
"3",0.00126585556572354,0.00522967225042173,0.193615238250414,0.799889233933441
"4",8.96713860242758e-05,0.000455626064740869,0.164355230930045,0.83509947161919
"5",5.83928722192094e-05,0.000306288966899548,0.160061651384205,0.839573666776677
"6",0.000202032379108793,0.00185944627985373,0.097801591490793,0.900136929850244
"7",5.29787191784871e-07,5.6475152627987e-06,0.0857629884604485,0.914230834237097
"8",7.78157435801756e-05,0.000288961060618298,0.212083211588092,0.78755001160771
"9",0.000311557368884938,0.00120660449477571,0.204908568589027,0.793573269547312
"10",0.000309021859338752,0.0025135874760267,0.109171895484379,0.888005495180255
"11",3.13535149483453e-08,2.86499588594613e-07,0.0986414939261269,0.90135818822077
"12",1.165298903692e-08,1.17709412906558e-07,0.0900801728662466,0.909919697771351
"13",1.57805147637423e-08,1.31744112518525e-07,0.106968665004887,0.893031187470485
"14",2.21308474454175e-07,1.55092665955724e-06,0.124875124071485,0.875123103693381
"15",1.95800658057423e-05,5.43635061316273e-05,0.264777822774385,0.735148233653677
"16",8.00029985264164e-05,1.1097473532852e-05,0.878104233789707,0.121804665738234
"17",2.34784736792916e-05,2.84790528289568e-05,0.451854723918505,0.548093318554986
"18",8.50960929527425e-06,5.38181720632686e-05,0.136521447173899,0.863416225044742
"19",4.48679696066565e-05,0.000254082389497254,0.150040148623603,0.849660901017293
"20",0.000617901247081969,0.00273871050178216,0.183466912044496,0.81317647620664
"21",0.000227855208557355,0.000591141979914127,0.277984587721324,0.721196415090205
"22",0.000444109852556631,0.00151888996980266,0.225796283803141,0.772240716374499
"23",0.000316422805955429,0.00214914854022739,0.128020080798093,0.869514347855725
"24",0.00821680628988232,0.0102177377774856,0.437511944030956,0.544053511901677
"25",0.0170680726177179,0.00824024982285402,0.65733745772893,0.317354219830498
"26",0.0343879389252326,0.00811889384044885,0.774609972417535,0.182883194816784
"27",0.0377564725848501,0.00364851248636961,0.874125816948792,0.0844691979799885
"28",1.45194548542729e-07,8.4953797049113e-07,0.145963262821659,0.854035742445822
