transition,trans_no,avg_time,SE_time
insect to vertebrate,1,186.27576776591715,0.0698404479499467
insect to vertebrate,2,184.5506033929398,0.1027476055613693
insect to vertebrate,3,183.02389174512294,0.11874785819152826
insect to vertebrate,4,181.33381811345993,0.13719552035048285
insect to vertebrate,5,179.5450978784958,0.14614080963987733
insect to vertebrate,6,177.8786541149082,0.16014071331891658
insect to vertebrate,7,176.18984204573283,0.1671720296237708
insect to vertebrate,8,174.3539340092813,0.1826761942503607
insect to vertebrate,9,172.60558293597077,0.19695265146035884
insect to vertebrate,10,170.971722147487,0.20680874510942146
insect to vertebrate,11,169.09081991377568,0.21749728177523878
insect to vertebrate,12,167.2415839645597,0.23115663930563582
insect to vertebrate,13,165.4987640944966,0.247380775869587
insect to vertebrate,14,163.6112106921956,0.2580692418214857
insect to vertebrate,15,161.56269141851584,0.270308939566694
insect to vertebrate,16,159.6053283328417,0.28047504752917307
insect to vertebrate,17,157.58223971912693,0.30168303858866513
insect to vertebrate,18,155.351699284702,0.32287569167451347
insect to vertebrate,19,153.00460375221533,0.3442001089013837
insect to vertebrate,20,150.5209084113621,0.3668419953363331
insect to vertebrate,21,148.03501096473104,0.3914632369304283
insect to vertebrate,22,145.47316368735517,0.41541297228066304
insect to vertebrate,23,142.7633325252147,0.4376432098481451
insect to vertebrate,24,140.0752773566752,0.46583211995367496
insect to vertebrate,25,137.02184193323654,0.4809802470681717
insect to vertebrate,26,134.04412166664235,0.507338743370729
insect to vertebrate,27,130.75677881136866,0.5361643207766521
insect to vertebrate,28,127.5011184329933,0.5725081879563515
insect to vertebrate,29,123.88714045362323,0.6331749920642775
insect to vertebrate,30,120.35487530641318,0.6512100514215455
insect to vertebrate,31,116.19764211638523,0.6873550565103169
insect to vertebrate,32,112.27345465141369,0.7183263914106098
insect to vertebrate,33,108.23033402087896,0.733046635077885
insect to vertebrate,34,103.90436912496084,0.7641294969543554
insect to vertebrate,35,99.58442305144438,0.8071268167234837
insect to vertebrate,36,94.8321440180043,0.8622889926248263
insect to vertebrate,37,91.65948267839808,0.9319873508775351
insect to vertebrate,38,88.01241412435292,1.0285529914998213
insect to vertebrate,39,84.55474521671901,1.0999950589396752
insect to vertebrate,40,82.61255103775262,1.13606426914917
insect to vertebrate,41,80.37385513206293,1.4676624987077591
insect to vertebrate,42,80.71333241523342,1.3887502667048128
insect to vertebrate,43,78.41946762062717,1.6075698966735785
vertebrate to insect,1,186.79546980332879,0.04998882645352113
vertebrate to insect,2,185.60481705296823,0.07372696409652965
vertebrate to insect,3,184.4342568773059,0.08593874996020731
vertebrate to insect,4,183.17049606865262,0.10765286030277096
vertebrate to insect,5,181.9919908520315,0.12486556696937465
vertebrate to insect,6,180.6045214915338,0.139656923140205
vertebrate to insect,7,179.29469039270853,0.15373714251560372
vertebrate to insect,8,177.82466941939748,0.16838822187958352
vertebrate to insect,9,176.32674346132455,0.17839694347924942
vertebrate to insect,10,174.9968582586527,0.1928813890344202
vertebrate to insect,11,173.6133298941865,0.20848108239229543
