transition,trans_no,avg_time,SE_time
insect to vertebrate,1,120.76575277189548,0.3573812700226185
insect to vertebrate,2,110.310990603078,0.30728889753552
insect to vertebrate,3,103.1321637691549,0.2960058412655348
insect to vertebrate,4,96.81409784287379,0.29708345712184825
insect to vertebrate,5,91.27246027207963,0.29705480472151086
insect to vertebrate,6,86.22394110359686,0.30120272231202555
insect to vertebrate,7,81.54853063539417,0.3040710670810874
insect to vertebrate,8,77.58626456515266,0.29861489332296137
insect to vertebrate,9,73.57273042980312,0.29457731349969796
insect to vertebrate,10,70.23832132981737,0.2938951167559414
insect to vertebrate,11,66.99788724135247,0.2852642299052166
insect to vertebrate,12,64.11129238611116,0.27904223675101614
insect to vertebrate,13,61.30503824297633,0.2770226179835985
insect to vertebrate,14,58.564688971629025,0.2694094857781995
insect to vertebrate,15,56.1340304322239,0.27003887197366905
insect to vertebrate,16,53.561168687570074,0.26927888592901505
insect to vertebrate,17,51.013710471951015,0.2677032950405373
insect to vertebrate,18,48.559592725275536,0.26964716423510404
insect to vertebrate,19,46.15367905549666,0.2661953713795711
insect to vertebrate,20,43.86396555790171,0.2679417274014773
insect to vertebrate,21,41.748645752259236,0.2654138577482667
insect to vertebrate,22,39.59590703211797,0.25704441650502674
insect to vertebrate,23,37.5642350353254,0.25372110318997887
insect to vertebrate,24,35.66847492524081,0.24860749864633988
insect to vertebrate,25,33.79332339187726,0.241340237235493
insect to vertebrate,26,31.938511408715854,0.23533717223283795
insect to vertebrate,27,30.212555835645638,0.22857279466060304
insect to vertebrate,28,28.520610227734764,0.2232312548654543
insect to vertebrate,29,26.97071125609416,0.22292622119778252
insect to vertebrate,30,25.412562783406088,0.21985290146680056
insect to vertebrate,31,23.76146690503369,0.21791779940323133
insect to vertebrate,32,22.181468650855972,0.21468614295753075
insect to vertebrate,33,20.623235183084176,0.21260587373297515
insect to vertebrate,34,19.09111414448403,0.2106546498049029
insect to vertebrate,35,17.70996889788085,0.20838976599287215
insect to vertebrate,36,16.216714428354727,0.20663469901865947
insect to vertebrate,37,14.753850602048704,0.20426710561984357
insect to vertebrate,38,13.383147652883997,0.20084337758687948
insect to vertebrate,39,12.283717367036392,0.19657698016806202
insect to vertebrate,40,11.036104339569498,0.1918112003194194
insect to vertebrate,41,9.888898422868564,0.18733269918435844
insect to vertebrate,42,8.88443547082046,0.18280293357066255
insect to vertebrate,43,7.962593136765152,0.1801464741668246
insect to vertebrate,44,7.204303891127074,0.17950126744538916
insect to vertebrate,45,6.429755011831762,0.17968873513865863
insect to vertebrate,46,5.94991549207799,0.18259514295526713
insect to vertebrate,47,5.501342282059527,0.18928523826077806
vertebrate to insect,1,99.79663799698307,0.5573843118671902
vertebrate to insect,2,86.513281148995,0.5247725001654853
vertebrate to insect,3,77.96020984244886,0.5188675222541848
vertebrate to insect,4,71.35867134861773,0.49650510497026784
vertebrate to insect,5,65.98758659815687,0.48442207631646134
vertebrate to insect,6,61.34156653105638,0.4660211323663727
vertebrate to insect,7,57.2893385579938,0.4521935761293502
vertebrate to insect,8,53.72803902171929,0.4378029607436662
vertebrate to insect,9,50.579852103587704,0.42339810490700774
vertebrate to insect,10,47.72578471152073,0.4129140465662302
vertebrate to insect,11,45.05432088426642,0.4043620965818788
vertebrate to insect,12,42.36215927987365,0.3958951925988926
vertebrate to insect,13,40.076864235060995,0.39007882247294573
vertebrate to insect,14,37.85766315064325,0.3823745597329918
vertebrate to insect,15,35.73901039699357,0.37080667582455673
vertebrate to insect,16,33.66606805512136,0.36673525006648455
vertebrate to insect,17,31.75902836971595,0.35732482152517053
vertebrate to insect,18,29.900626236355183,0.3489557114500662
vertebrate to insect,19,28.232556776078628,0.3432615415543482
vertebrate to insect,20,26.642811747742524,0.334579391965646
vertebrate to insect,21,25.052286161179158,0.32638119703666363
vertebrate to insect,22,23.572026840352198,0.3188433416314257
vertebrate to insect,23,22.116606949067744,0.3150040112323885
vertebrate to insect,24,20.69269027211711,0.3079730291122295
vertebrate to insect,25,19.402022705187928,0.3033655963437392
vertebrate to insect,26,18.153867533508652,0.2959186028604556
vertebrate to insect,27,17.003926040598195,0.2901554190216227
vertebrate to insect,28,15.814014571063298,0.28458606964240274
vertebrate to insect,29,14.809814666130983,0.27855966568321927
vertebrate to insect,30,13.941801797162158,0.2733696552771844
vertebrate to insect,31,12.98934829631471,0.2694545909345133
vertebrate to insect,32,12.075051393641223,0.26585774894682845
vertebrate to insect,33,11.276719798277975,0.2632572936719959
vertebrate to insect,34,10.61516304753245,0.26273901478648265
vertebrate to insect,35,10.185201222466434,0.26031008429150315
vertebrate to insect,36,9.60149429614214,0.2592238221763779
vertebrate to insect,37,8.96777143674811,0.2585670998209628
vertebrate to insect,38,8.277249282760843,0.2594202228926925
vertebrate to insect,39,7.851446920954007,0.26421418122874457
vertebrate to insect,40,7.526259266547559,0.2716444251209884
vertebrate to insect,41,7.1165379649043885,0.2743949331818984
vertebrate to insect,42,6.9172469858128185,0.28958979170916815
