transition,trans_no,avg_time,SE_time
wind to animal,1,189.02367246390764,0.26780194040663696
wind to animal,2,181.76986551668048,0.38435353299650177
wind to animal,3,174.72331401399927,0.5084237757686013
wind to animal,4,165.339860450552,0.8422683248937354
wind to animal,5,157.50493213106049,0.9658726082706355
animal to wind,1,193.71999979744967,0.08276962427347813
animal to wind,2,191.64292344444289,0.1259396777749353
animal to wind,3,189.68067347997996,0.14456784400072287
animal to wind,4,187.5633014653233,0.16043231365555818
animal to wind,5,185.66759483182284,0.17381139411894025
animal to wind,6,183.49186165204316,0.18486359860654067
animal to wind,7,181.56125153375334,0.19670479440483868
animal to wind,8,179.6580420064851,0.20655220112961023
animal to wind,9,177.6021595385838,0.2147735112139119
animal to wind,10,175.63906440584768,0.21858096563294058
animal to wind,11,173.69790323266545,0.22543089488052429
animal to wind,12,171.82223367431826,0.23228410647117553
animal to wind,13,169.85763781502726,0.24218515166450075
animal to wind,14,167.7796049671932,0.25568815718354004
animal to wind,15,165.74320825073227,0.263544776177849
animal to wind,16,163.5038739837029,0.27135299534503254
animal to wind,17,161.43071585521417,0.2788090820932181
animal to wind,18,159.27782579654203,0.27811655762438686
animal to wind,19,157.0363829452016,0.28748849227081025
animal to wind,20,154.8054380937502,0.30086683287950705
animal to wind,21,152.54616285583305,0.31143470108847554
animal to wind,22,150.37161186947208,0.3196672581704845
animal to wind,23,147.90040809157313,0.329573421005137
animal to wind,24,145.36847336630794,0.345148702646805
animal to wind,25,142.82998853243507,0.35738542321302
animal to wind,26,140.37301491357886,0.3808459797794235
animal to wind,27,137.60608307106733,0.40156929929345875
animal to wind,28,134.4268222608463,0.42360968406955635
animal to wind,29,131.28095206507396,0.44933795172554997
animal to wind,30,127.85793453665178,0.4795200436470279
animal to wind,31,124.21237812632558,0.504648237005081
animal to wind,32,120.49442267928703,0.5167145232718136
animal to wind,33,116.67899754748487,0.5246029984619734
animal to wind,34,113.15078378382066,0.5221202892785362
animal to wind,35,109.36959211495717,0.5072098505320954
animal to wind,36,105.88326847977558,0.49722864890575863
animal to wind,37,102.2632280721093,0.46111668250520293
animal to wind,38,98.79114035467686,0.45551000936991737
animal to wind,39,95.626697552633,0.45346388173411933
animal to wind,40,92.23065912761045,0.4581000418273766
animal to wind,41,89.25173468203145,0.4514214884247162
animal to wind,42,86.10511235318059,0.46733896282084947
animal to wind,43,83.28242296399092,0.4738624198881571
animal to wind,44,80.23018427304964,0.5314106824906906
animal to wind,45,77.34100219189509,0.6334854491552179
wind to animal,6,148.16303569779302,1.2131696634994436
wind to animal,7,139.68895095607388,1.4736240701828018
wind to animal,8,133.75695275787865,1.6559456145265508
wind to animal,9,127.97164580456545,1.803743383969919
wind to animal,10,118.85318493789812,2.5731397649244503
animal to wind,46,76.02415931253682,0.7246539837196346
animal to wind,47,74.1600817536647,0.8090193047378214
animal to wind,48,73.21766059598326,0.8542920607146179
animal to wind,49,72.00575983602111,1.1451808096973495
wind to animal,11,118.35451284070267,2.8543422955482507
wind to animal,12,115.15653107979543,4.055966778909498
animal to wind,50,70.87245038330938,1.368368106983009
animal to wind,51,70.0091732689525,1.370134394335672
animal to wind,52,60.06780486899668,3.129759270685776
wind to animal,13,108.21481904078742,6.311215195419493
wind to animal,14,102.80167252813484,7.893622700809323
wind to animal,15,80.79654269904708,16.19682546828824
animal to wind,53,24.18348000232939,NA
