transition,trans_no,avg_time,SE_time
animal to wind,1,123.86972887678463,0.23968735205512665
animal to wind,2,116.61004333234968,0.16138043483733142
animal to wind,3,112.29668513116755,0.1450332034661588
animal to wind,4,108.75096502840053,0.1313226583245115
animal to wind,5,105.84185727132892,0.13008488221182793
animal to wind,6,103.22762584347217,0.14054202579595687
animal to wind,7,100.31579039109968,0.15736003897015735
animal to wind,8,97.19834735257302,0.15982631132841923
animal to wind,9,93.98830799438487,0.16238448646687206
animal to wind,10,90.83315767610718,0.17333952149811677
animal to wind,11,87.62568931157759,0.19504361133846443
animal to wind,12,83.9462425174402,0.22553860455393
animal to wind,13,80.10218483970444,0.24767476686538129
animal to wind,14,76.21537090222023,0.2526521825561614
animal to wind,15,72.34699373839275,0.2558324745085537
animal to wind,16,68.58374826933681,0.25146527408597114
animal to wind,17,64.84146253972996,0.23771885020525163
animal to wind,18,61.54104063823253,0.22294030409700288
animal to wind,19,58.71890481668216,0.21659307879187797
animal to wind,20,55.95492812157272,0.2045323536858332
animal to wind,21,53.49503855643975,0.20333374998527906
animal to wind,22,51.035271745507345,0.20170489108220843
animal to wind,23,48.5149561575026,0.20101679193003505
animal to wind,24,46.10798204458614,0.19796870715300915
animal to wind,25,43.74073207740201,0.19552942098821616
animal to wind,26,41.40671361404543,0.19359279780623487
animal to wind,27,39.27497573218261,0.1880942294815024
animal to wind,28,37.06014213612046,0.1827502830139511
animal to wind,29,34.98792595994515,0.17858267717205234
animal to wind,30,32.998800704217366,0.17700586349110195
animal to wind,31,31.176115647353317,0.17402499696885795
animal to wind,32,29.23970824980184,0.17168085480047626
animal to wind,33,27.22393865882908,0.16793485702588642
animal to wind,34,25.430254124286407,0.16760083415247679
animal to wind,35,23.608762246063165,0.16577910804895504
animal to wind,36,21.713511240540385,0.16434073692957293
animal to wind,37,19.910440187532437,0.1660780380873336
animal to wind,38,18.003518201037565,0.166629892172407
animal to wind,39,16.059518019592115,0.17102876726688937
animal to wind,40,14.008870337874475,0.17324001155799584
animal to wind,41,12.07487099142435,0.1711987828550696
animal to wind,42,10.25886657379246,0.1676719655164004
animal to wind,43,8.685400908917398,0.1640871914889284
animal to wind,44,7.112178861397814,0.16101558741226266
animal to wind,45,6.0087414837126625,0.15796150669602582
animal to wind,46,5.043775939152324,0.16311737098791085
wind to animal,1,73.71322999609033,0.7406120893223658
wind to animal,2,51.34458231430568,0.6323862133771683
wind to animal,3,38.158484331047134,0.5450764909465361
wind to animal,4,28.306282052253124,0.4846113601746054
wind to animal,5,22.07448817282514,0.4664996759205499
wind to animal,6,17.695572714944333,0.4448306925337052
wind to animal,7,14.610893726554322,0.45199162857308756
