ParOrdTax,mintip,maxtip,tiprange,MRCAn,wind,water,insect,vertebrate
Proteales,339,349,10,1540,0.000,0.000,1.000,0.000
Malpighiales,624,712,88,1826,0.000,0.000,1.000,0.000
Alismatales,71,108,37,1274,0.000,0.000,1.000,0.000
Gentianales,1032,1058,26,2235,0.000,0.000,0.999,0.001
Caryophyllales,743,844,101,1945,0.000,0.000,0.999,0.001
Sapindales,430,451,21,1634,0.000,0.000,0.999,0.001
Asparagales,153,208,55,1356,0.000,0.000,0.999,0.001
Malvales,492,526,34,1695,0.000,0.000,0.998,0.002
Lamiales,1105,1201,96,2306,0.000,0.000,0.998,0.002
Boraginales,1087,1104,17,2289,0.000,0.000,0.998,0.002
Saxifragales,362,389,27,1565,0.000,0.000,0.998,0.001
Santalales,713,739,26,1915,0.000,0.000,0.998,0.002
Myrtales,396,416,20,1600,0.000,0.000,0.998,0.002
Oxalidales,606,617,11,1809,0.000,0.000,0.998,0.002
Solanales,1059,1086,27,2261,0.000,0.000,0.998,0.002
Cucurbitales,587,605,18,1790,0.001,0.000,0.998,0.001
Ranunculales,317,338,21,1519,0.000,0.000,0.998,0.002
Laurales,44,66,22,1247,0.000,0.000,0.997,0.003
Dioscoreales,121,133,12,1324,0.000,0.000,0.997,0.003
Vahliales,1030,1031,1,2232,0.000,0.000,0.997,0.003
Cornales,845,857,12,2047,0.000,0.000,0.997,0.003
Brassicales,458,491,33,1662,0.000,0.000,0.997,0.003
Icacinales,1022,1025,3,2223,0.000,0.000,0.996,0.004
Metteniusales,1023,1026,3,2223,0.000,0.000,0.996,0.004
Acorales,69,70,1,1272,0.000,0.000,0.996,0.004
Pandanales,111,120,9,1315,0.000,0.000,0.996,0.004
Magnoliales,28,43,15,1232,0.000,0.000,0.996,0.004
Piperales,17,27,10,1221,0.000,0.000,0.996,0.004
Fabales,530,546,16,1734,0.000,0.000,0.995,0.005
Huerteales,452,457,5,1656,0.000,0.000,0.995,0.005
Rosales,547,573,26,1751,0.005,0.000,0.994,0.001
Arecales,209,220,11,1412,0.000,0.000,0.994,0.006
Liliales,134,152,18,1337,0.000,0.000,0.994,0.006
Trochodendrales,352,353,1,1554,0.002,0.000,0.994,0.004
Poales,249,314,65,1451,0.002,0.000,0.994,0.005
Dilleniales,358,361,3,1560,0.000,0.000,0.992,0.008
Aquifoliales,922,931,9,2125,0.000,0.000,0.990,0.010
Canellales,13,16,3,1218,0.000,0.000,0.990,0.010
Zygophyllales,527,529,2,1730,0.000,0.000,0.989,0.011
Petrosaviales,109,110,1,1312,0.000,0.000,0.985,0.015
Austrobaileyales,9,12,3,1211,0.000,0.000,0.984,0.016
Vitales,390,391,1,1593,0.003,0.000,0.982,0.015
Amborellales,1,1,0,1202,0.007,0.000,0.981,0.012
Asterales,973,1021,48,2175,0.000,0.000,0.979,0.021
Nymphaeales,2,8,6,1204,0.012,0.000,0.978,0.010
Apiales,950,972,22,2153,0.000,0.000,0.977,0.023
Celastrales,618,623,5,1821,0.000,0.000,0.977,0.023
Bruniales,932,939,7,2135,0.000,0.000,0.976,0.024
Chloranthales,67,68,1,1270,0.020,0.000,0.973,0.007
Dipsacales,940,949,9,2144,0.000,0.000,0.972,0.028
Crossosomatales,417,427,10,1621,0.000,0.000,0.966,0.034
Geraniales,392,395,3,1596,0.000,0.000,0.961,0.039
Paracryphiales,934,935,1,2138,0.000,0.000,0.960,0.040
Buxales,350,351,1,1552,0.042,0.000,0.949,0.009
Commelinales,221,231,10,1425,0.000,0.000,0.920,0.080
Escalloniales,936,937,1,2140,0.000,0.000,0.880,0.120
Ericales,858,921,63,2060,0.000,0.000,0.874,0.126
Berberidopsidales,740,742,2,1942,0.000,0.000,0.670,0.330
Garryales,1027,1029,2,2229,0.388,0.000,0.609,0.004
Gunnerales,354,357,3,1556,0.402,0.000,0.594,0.004
Picramniales,428,429,1,1632,0.716,0.000,0.283,0.001
Fagales,574,586,12,1778,0.935,0.000,0.065,0.000
Zingiberales,232,248,16,1435,0.000,0.000,0.007,0.993
Ceratophyllales,315,316,1,1517,0.001,0.999,0.000,0.000
